match_id,start_time,win,hero_id,account_id,leaguename
3362113115,1502127470,false,92,101356886,The International 2017
3362113115,1502127470,true,68,140153524,The International 2017
3362113115,1502127470,true,73,205813150,The International 2017
3362113115,1502127470,true,65,129958758,The International 2017
3362113115,1502127470,true,60,207829314,The International 2017
3362113115,1502127470,true,77,90892734,The International 2017
3362113115,1502127470,false,74,105248644,The International 2017
3362113115,1502127470,false,99,34505203,The International 2017
3362113115,1502127470,false,100,82262664,The International 2017
3362113115,1502127470,false,63,72312627,The International 2017
3362175204,1502130888,true,114,105248644,The International 2017
3362175204,1502130888,false,77,90892734,The International 2017
3362175204,1502130888,false,32,207829314,The International 2017
3362175204,1502130888,false,16,129958758,The International 2017
3362175204,1502130888,false,73,205813150,The International 2017
3362175204,1502130888,false,31,140153524,The International 2017
3362175204,1502130888,true,70,72312627,The International 2017
3362175204,1502130888,true,90,101356886,The International 2017
3362175204,1502130888,true,68,82262664,The International 2017
3362175204,1502130888,true,99,34505203,The International 2017
3362247584,1502134969,false,80,72312627,The International 2017
3362247584,1502134969,false,41,34505203,The International 2017
3362247584,1502134969,false,68,82262664,The International 2017
3362247584,1502134969,false,28,101356886,The International 2017
3362247584,1502134969,false,106,105248644,The International 2017
3362247584,1502134969,true,87,140153524,The International 2017
3362247584,1502134969,true,25,205813150,The International 2017
3362247584,1502134969,true,7,129958758,The International 2017
3362247584,1502134969,true,107,207829314,The International 2017
3362247584,1502134969,true,18,90892734,The International 2017
3362331228,1502140025,true,76,149486894,The International 2017
3362331228,1502140025,false,23,25907144,The International 2017
3362331228,1502140025,false,89,73562326,The International 2017
3362331228,1502140025,false,53,87276347,The International 2017
3362331228,1502140025,false,98,86745912,The International 2017
3362331228,1502140025,false,9,111620041,The International 2017
3362331228,1502140025,true,16,139876032,The International 2017
3362331228,1502140025,true,102,87012746,The International 2017
3362331228,1502140025,true,40,117281554,The International 2017
3362331228,1502140025,true,87,82327674,The International 2017
3362390555,1502144075,false,77,86745912,The International 2017
3362390555,1502144075,false,36,111620041,The International 2017
3362390555,1502144075,true,107,139876032,The International 2017
3362390555,1502144075,true,99,87012746,The International 2017
3362390555,1502144075,true,4,117281554,The International 2017
3362390555,1502144075,true,39,149486894,The International 2017
3362390555,1502144075,true,27,82327674,The International 2017
3362390555,1502144075,false,87,25907144,The International 2017
3362390555,1502144075,false,16,73562326,The International 2017
3362390555,1502144075,false,33,87276347,The International 2017
3362458643,1502149765,false,11,192914280,The International 2017
3362458643,1502149765,false,77,180012313,The International 2017
3362458643,1502149765,false,16,91654584,The International 2017
3362458643,1502149765,false,51,122867857,The International 2017
3362458643,1502149765,false,75,323792491,The International 2017
3362458643,1502149765,true,30,87278757,The International 2017
3362458643,1502149765,true,86,89117038,The International 2017
3362458643,1502149765,true,46,116585378,The International 2017
3362458643,1502149765,true,12,101450083,The International 2017
3362458643,1502149765,true,65,169025618,The International 2017
3362526195,1502155223,false,65,86726887,The International 2017
3362526195,1502155223,false,50,6922000,The International 2017
3362526195,1502155223,false,69,40547474,The International 2017
3362526195,1502155223,false,49,86799300,The International 2017
3362526195,1502155223,false,113,43276219,The International 2017
3362526195,1502155223,true,41,86725175,The International 2017
3362526195,1502155223,true,39,5150808,The International 2017
3362526195,1502155223,true,60,159020918,The International 2017
3362526195,1502155223,true,104,92847434,The International 2017
3362526195,1502155223,true,87,113331514,The International 2017
3362609879,1502161332,false,7,242697694,The International 2017
3362609879,1502161332,true,81,19672354,The International 2017
3362609879,1502161332,true,78,41231571,The International 2017
3362609879,1502161332,true,100,26771994,The International 2017
3362609879,1502161332,true,74,311360822,The International 2017
3362609879,1502161332,true,50,94155156,The International 2017
3362609879,1502161332,false,95,194521913,The International 2017
3362609879,1502161332,false,31,99796146,The International 2017
3362609879,1502161332,false,60,155332459,The International 2017
3362609879,1502161332,false,47,97658618,The International 2017
3362675038,1502165816,false,18,137193239,The International 2017
3362675038,1502165816,false,17,173880329,The International 2017
3362675038,1502165816,false,55,111291593,The International 2017
3362675038,1502165816,false,16,103940975,The International 2017
3362675038,1502165816,false,27,103039499,The International 2017
3362675038,1502165816,true,71,30237211,The International 2017
3362675038,1502165816,true,43,154715080,The International 2017
3362675038,1502165816,true,9,88933594,The International 2017
3362675038,1502165816,true,54,315657960,The International 2017
3362675038,1502165816,true,89,145550466,The International 2017
3363973439,1502214081,true,50,114239371,The International 2017
3363973439,1502214081,true,60,119576842,The International 2017
3363973439,1502214081,true,13,90882159,The International 2017
3363973439,1502214081,true,109,148215639,The International 2017
3363973439,1502214081,true,53,111189717,The International 2017
3363973439,1502214081,false,64,87196890,The International 2017
3363973439,1502214081,false,89,155494381,The International 2017
3363973439,1502214081,false,73,184950344,The International 2017
3363973439,1502214081,false,15,132309493,The International 2017
3363973439,1502214081,false,16,187619311,The International 2017
3364084016,1502219604,false,65,187619311,The International 2017
3364084016,1502219604,true,68,114239371,The International 2017
3364084016,1502219604,true,23,119576842,The International 2017
3364084016,1502219604,true,99,90882159,The International 2017
3364084016,1502219604,true,41,148215639,The International 2017
3364084016,1502219604,true,53,111189717,The International 2017
3364084016,1502219604,false,111,87196890,The International 2017
3364084016,1502219604,false,16,155494381,The International 2017
3364084016,1502219604,false,61,184950344,The International 2017
3364084016,1502219604,false,89,132309493,The International 2017
3364162010,1502223753,true,25,106573901,The International 2017
3364162010,1502223753,true,5,134556694,The International 2017
3364162010,1502223753,true,18,132851371,The International 2017
3364162010,1502223753,true,57,92423451,The International 2017
3364162010,1502223753,true,60,106809101,The International 2017
